"FAQs", "التعليمات"
"Product Support","دعم المنتج"
"What's Included","ما يحتويه"
"Product Specifications","مواصفات المنتج"
"Product Details","فاصيل المنتج"
"Features","سمات"
"Register", "يسجل"
"To register your guarantee, please click here to complete the form.",".لتسجيل الضمان الخاص بك، الرجاء الضغط هنا لإكمال النموذج"
"Go to support centre", "انتقل إلى مركز الدعم"
"FAQs & Product Support","الأسئلة الشائعة ودعم المنتج"
"What guarantee do I get with my vacuum?", "ما الضمان الذي أحصل عليه مع مكنسة الكهربائية الخاصة بي؟"
"When you register your guarantee with , you are covered for 5 years (excludes batteries). You can register your guarantee here:", "عندما تقوم بتسجيل الضمان الخاص بك مع ، فستتمتع بالتغطية لمدة 5 سنوات (باستثناء البطاريات). يمكنك تسجيل ضمانك هنا: "
"What are the benefits of the display?","ما هي فوائد شاشة ؟"
"What does the light indicator show?","ماذا يظهر مؤشر ضوء ؟"
"What are the benefits of a floor nozzle?","ما هي فوائد فوهة الأرضية ؟"
"What are the benefits of ?","ما هي فوائد ؟ "
"Which power mode should I use?","ما هو وضع الطاقة الذي يجب أن أستخدمه؟"
"In the box","في الصندوق"
"Base Clip","مقطع القاعدة"
"Charger","شاحن"
"Duster Crevice Tool","أداة شق المنفضة"
"Main Unit", "وحدة رئيسية"
"Open Full Specifications","فتح المواصفات الكاملة"
"Up to 50% better dirt pick-up","تصل إلى 50% التقاط أفضل للأوساخ بنسبة"
"Deep clean carpets and hard floors:",":السجاد النظيف العميق والأرضيات الصلبة "
"Powerful performance, 25% lighter:",":%أداء قوي وأخف وزنًا بنسبة 25"
"Whole-home cleaning:",":تنظيف المنزل بالكامل"
"Easy freestanding storage:",":تخزين سهل قائما بذاته"
"Shark guarantee:",":ضمان القرش"
"Shark offers a 5-year guarantee (2 years for batteries) so you can clean with confidence.",".ضمانًا لمدة 5 سنوات (سنتان للبطاريات) حتى تتمكن من التنظيف بثقة Shark تقدم"
"Simply detach the handvac and clip it at the base of the wand for freestanding storage, anywhere in your home.",".ما عليك سوى فصل مكنسة اليد وتثبيتها في قاعدة العصا للتخزين المستقل في أي مكان في منزلك"
"Not just for floors, detach the handheld vacuum to easily clean stairs, soft furnishings, inside the car and hard-to-reach places with the lightweight handvac and Duster-Crevice Tool attachment.",".Duster-Crevice ليس فقط للأرضيات، يمكنك فصل المكنسة الكهربائية المحمولة لتنظيف السلالم والمفروشات الناعمة بسهولة وداخل السيارة والأماكن التي يصعب الوصول إليها باستخدام مكنسة يدوية خفيفة الوزن وملحق أداة"
"A compact turbo-drive motor packs powerful cleaning performance into this ultra-lightweight cordless vacuum.",".يوفر المحرك التوربيني المدمج أداء تنظيف قويًا في هذه المكنسة الكهربائية اللاسلكية خفيفة الوزن للغاية"
"An LED display screen shows real-time battery status, dirt detection and cleaning mode read-outs.",". حالة البطارية في الوقت الفعلي، وكشف الأوساخ وقراءات وضع التنظيف LED تعرض شاشة عرض"
